iter: 1  num_samples: 960000000  num_i: 753978201  pi: 3.14157583750000000000  relative_error: .00000535269904621961  time_accum: 18
iter: 2  num_samples: 1920000000  num_i: 1507944237  pi: 3.14155049375000000000  relative_error: .00001341986522441119  time_accum: 37
iter: 3  num_samples: 2880000000  num_i: 2261920268  pi: 3.14155592777777777777  relative_error: .00001169016046089060  time_accum: 56
iter: 4  num_samples: 3840000000  num_i: 3015905386  pi: 3.14156811041666666666  relative_error: .00000781230606261087  time_accum: 75
iter: 5  num_samples: 4800000000  num_i: 3769876229  pi: 3.14156352416666666666  relative_error: .00000927215477818376  time_accum: 93
iter: 6  num_samples: 5760000000  num_i: 4523858404  pi: 3.14156833611111111111  relative_error: .00000774046528970781  time_accum: 112
iter: 7  num_samples: 6720000000  num_i: 5277826474  pi: 3.14156337738095238095  relative_error: .00000931887812221510  time_accum: 130
iter: 8  num_samples: 7680000000  num_i: 6031797820  pi: 3.14156136458333333333  relative_error: .00000995957150324707  time_accum: 149
iter: 9  num_samples: 8640000000  num_i: 6785775536  pi: 3.14156274814814814814  relative_error: .00000951916914450497  time_accum: 167
iter: 10  num_samples: 9600000000  num_i: 7539756069  pi: 3.14156502875000000000  relative_error: .00000879323102859259  time_accum: 186
iter: 11  num_samples: 10560000000  num_i: 8293754462  pi: 3.14157365984848484848  relative_error: .00000604586705209970  time_accum: 204
iter: 12  num_samples: 11520000000  num_i: 9047735911  pi: 3.14157496909722222222  relative_error: .00000562912023552357  time_accum: 222
iter: 13  num_samples: 12480000000  num_i: 9801701082  pi: 3.14157085961538461538  relative_error: .00000693720893156049  time_accum: 241
iter: 14  num_samples: 13440000000  num_i: 10555696232  pi: 3.14157625952380952380  relative_error: .00000521836469540153  time_accum: 260
iter: 15  num_samples: 14400000000  num_i: 11309676668  pi: 3.14157685222222222222  relative_error: .00000502970293114169  time_accum: 278
iter: 16  num_samples: 15360000000  num_i: 12063652486  pi: 3.14157616822916666666  relative_error: .00000524742468273665  time_accum: 297
iter: 17  num_samples: 16320000000  num_i: 12817626712  pi: 3.14157517450980392156  relative_error: .00000556373538003840  time_accum: 315
iter: 18  num_samples: 17280000000  num_i: 13571630022  pi: 3.14158102361111111111  relative_error: .00000370190860855003  time_accum: 335
